Time delay (s)	Process	Rust	Docker	Linux KVM	Linux
4	14.99936802	14.9993767	14.99875682	14.99945197	14.99928883
2	29.99870456	29.99869334	29.99776255	29.99887663	29.66519159
1	59.99736199	59.9975156	59.66200292	59.99762792	59.66416923
0.5	118.9950287	118.9949009	118.9921121	119.6616173	9.994736034
0.25	237.9898362	238.6565519	151.9909305	239.3247882	
0.125	472.9775961	473.3183753	101.3233427	474.3195763	
0.0625	929.9558887	936.9701628	1.904624983	585.6393142	
0.03125	1798.591711	1834.954856			
0.015625	3345.859897	3499.900179			
0.0078125	5715.072115	6063.505073			
0.00390625	8646.966252	7992.091847			
0.001953125	11544.82927	8631.495063			
0.0009765625	13685.49237	8779.167612			